Source,Target,Weight
POW3Rtv,POW3Rtv,0
NickEh30,NickEh30,0
SmiteGame,SmiteGame,0
ops1x,ops1x,0
Amouranth,Amouranth,0
AdmiralBahroo,AdmiralBahroo,0
Stray228,Stray228,0
PENTA,Ssaab,281
ZeratoR,ZeratoR,0
itsHafu,itsHafu,0
ybicanoooobov,ybicanoooobov,0
Herdyn,ArcadeBulls,36
mistermv,mistermv,0
Alexby11,AgenteMaxo,159
ROSHTEIN,ROSHTEIN,0
ClassyBeef,ClassyBeef,0
ESL_SC2,MST3K,16
ESL_SC2,Flanalistaa,10
ESL_SC2,MissDoitBIG,10
ESL_SC2,Monstercat,18
ESL_SC2,franchiseglobalart,15
ESL_SC2,Japan_ASMR,18
ESL_SC2,dtn_mukai,14
ESL_SC2,ToneEUW,11
ESL_SC2,SaltyTeemo,16
ESL_SC2,Cedduzzo,17
ESL_SC2,killercam1020,13
ESL_SC2,AlliedEsports,15
ESL_SC2,Athena,20
ESL_SC2,DutchsinseOfficial,13
ESL_SC2,fuji720x,16
ESL_SC2,LiveCryptoTraders,8
ESL_SC2,zunksoyyo,14
ESL_SC2,Halifax,16
ESL_SC2,LAGTVMaximusBlack,17
ESL_SC2,canceldota,13
ESL_SC2,cuky222,12
ESL_SC2,YDCB,17
ESL_SC2,OnlyMXC,15
ESL_SC2,DedBaldesh,13
ESL_SC2,Falcodrin,15
ESL_SC2,allkeyshop_tv,19
ESL_SC2,VELLOSO,11
ESL_SC2,weathernewslive,14
ESL_SC2,A1taOda,16
ESL_SC2,war10ck3d,10
ESL_SC2,OgamingLoL,14
ESL_SC2,RatoBorrachudo,18
ESL_SC2,OgamingSC2,20
ESL_SC2,souless,14
ESL_SC2,ArcadeBulls,18
ESL_SC2,ESAMarathon,20
ESL_SC2,Abracadabra,15
ESL_SC2,StreamerHouse,19
ESL_SC2,its_WiKeD,11
ESL_SC2,Insomniac,16
fritterus,fritterus,0
ElChurches,franchiseglobalart,15
ElChurches,ToneEUW,12
ElChurches,AlliedEsports,12
ElChurches,zunksoyyo,14
ElChurches,canceldota,11
ElChurches,DedBaldesh,15
ElChurches,allkeyshop_tv,14
ElChurches,VELLOSO,11
ElChurches,OgamingSC2,11
ElChurches,Abracadabra,14
Alinity,Alinity,0
Slick,sujagg,273
Slick,iGeStarK,120
Slick,Alliege,230
MST3K,Monstercat,16
MST3K,AlliedEsports,12
MST3K,DutchsinseOfficial,15
MST3K,OnlyMXC,21
MST3K,allkeyshop_tv,14
MST3K,OgamingSC2,16
MST3K,RiffTrax,47
MST3K,ArcadeBulls,16
blackelespanolito,blackelespanolito,0
JenNyan,sukidingels,133
Flanalistaa,MissDoitBIG,9
Flanalistaa,ToneEUW,10
Flanalistaa,SaltyTeemo,13
Flanalistaa,killercam1020,8
Flanalistaa,AlliedEsports,13
Flanalistaa,canceldota,10
Flanalistaa,OnlyMXC,10
Flanalistaa,Falcodrin,11
Flanalistaa,allkeyshop_tv,12
Flanalistaa,VELLOSO,7
Flanalistaa,war10ck3d,8
Flanalistaa,OgamingLoL,9
Flanalistaa,OgamingSC2,8
Flanalistaa,Abracadabra,10
Flanalistaa,StreamerHouse,12
Flanalistaa,Insomniac,10
nahzinhaa,blxckoutz,69
nahzinhaa,Saullo,70
nahzinhaa,liminhag0d,244
nahzinhaa,mch_AGG,141
nahzinhaa,ThomeFN,56
nahzinhaa,CSRfps,100
nahzinhaa,yayahuz,108
tarik,tarik,0
Deansocool,Deansocool,0
RvNxMango,Timit,28
LakshartNia,LakshartNia,0
a_babybay,a_babybay,0
seucreysonreborn,seucreysonreborn,0
tvandeR,tvandeR,0
Chess,Chess,0
MarexLoL,MarexLoL,0
Proze,Phyzikk,69
blake,Co1azo,168
BruceGreene,BruceGreene,0
DashDucks,Monstercat,23
DashDucks,allkeyshop_tv,20
DashDucks,Abracadabra,20
YourPelagea,YourPelagea,0
AkTep,AkTep,0
demonzz1,demonzz1,0
Monstercat,MissDoitBIG,14
Monstercat,franchiseglobalart,18
Monstercat,Japan_ASMR,22
Monstercat,dtn_mukai,16
Monstercat,SaltyTeemo,20
Monstercat,killercam1020,16
Monstercat,AlliedEsports,15
Monstercat,DutchsinseOfficial,17
Monstercat,StephenIRL,17
Monstercat,Halifax,18
Monstercat,LAGTVMaximusBlack,19
Monstercat,canceldota,13
Monstercat,cuky222,13
Monstercat,OnlyMXC,17
Monstercat,DedBaldesh,13
Monstercat,Falcodrin,20
Monstercat,allkeyshop_tv,19
Monstercat,weathernewslive,12
Monstercat,war10ck3d,12
Monstercat,OgamingLoL,17
Monstercat,RatoBorrachudo,18
Monstercat,OgamingSC2,20
Monstercat,souless,15
Monstercat,ArcadeBulls,19
Monstercat,Abracadabra,17
Monstercat,StreamerHouse,17
Monstercat,its_WiKeD,14
Monstercat,Insomniac,24
BigSpinCR,BigSpinCR,0
Kruzadar,Kruzadar,0
BorasLegend,BorasLegend,0
Pun1shers_TV,Pun1shers_TV,0
SparkofPhoenixTV,franchiseglobalart,26
SparkofPhoenixTV,AlliedEsports,13
SparkofPhoenixTV,allkeyshop_tv,16
SparkofPhoenixTV,OgamingSC2,14
Rapturrs,Rapturrs,0
Japan_ASMR,MissDoitBIG,11
Japan_ASMR,franchiseglobalart,16
Japan_ASMR,dtn_mukai,16
Japan_ASMR,SaltyTeemo,16
Japan_ASMR,Cedduzzo,18
Japan_ASMR,killercam1020,16
Japan_ASMR,AlliedEsports,14
Japan_ASMR,Athena,17
Japan_ASMR,DutchsinseOfficial,14
Japan_ASMR,LiveCryptoTraders,8
Japan_ASMR,zunksoyyo,13
Japan_ASMR,Halifax,15
Japan_ASMR,LAGTVMaximusBlack,17
Japan_ASMR,canceldota,15
Japan_ASMR,cuky222,13
Japan_ASMR,OnlyMXC,17
Japan_ASMR,DedBaldesh,13
Japan_ASMR,Falcodrin,16
Japan_ASMR,allkeyshop_tv,18
Japan_ASMR,VELLOSO,11
Japan_ASMR,weathernewslive,13
Japan_ASMR,war10ck3d,10
Japan_ASMR,OgamingLoL,16
Japan_ASMR,RatoBorrachudo,19
