Source,Weight
blxckoutz,0.957
ops1x,0.826
Solary,0.597
SmiteGame,2.257
NickEh30,1.983
aircool,0.665
elded,12.032
SolaryFortnite,0.35
Amouranth,10.162
moistcr1tikal,12.927
BeyondTheSummit,2.821
Ramee,9.05
Whippy,3.529
GronkhTV,1.699
Trainwreckstv,8.319
nl_Kripp,4.122
knekro,4.038
SolaryHS,0.821
Nightblue3,2.79
MYM_ALKAPONE,6.755
ROSHTEIN,19.205
AnthonyZ,5.107
Faah,0.499
yvonnie,1.134
deercheerup,4.541
Mayichi,3.768
AsmodaiTV,1.052
sees360,0.482
daltoosh,4.694
GD_booya,2.378
zwebackhd,1.169
Smzinho,2.565
fobm4ster,2.886
ESL_SC2,0.247
Reetlol,0.994
Atrioc,0.183
Day9tv,1.547
Alinity,1.81
Slick,0.537
BikeMan,0.95
AshSaidHi,0.089
MST3K,0.421
xandfps,0.507
DolphinChemist,1.016
ZubatLEL,2.779
Flanalistaa,0.135
Yogscast,0.442
nahzinhaa,0.574
julien,1.654
Surefour,2.308
tarik,3.82
TSM_TheOddOne,0.864
TheLivia,0.062
SirhcEz,0.159
Alex_Zedra,0.737
CalebDMTG,1.423
AWS,0.068
LuckyChamu,0.814
MYMTUMTUM69,0.274
Artosis,2.156
ElMariana,27.039
tvandeR,4.656
DizzyKitten,1.023
seucreysonreborn,0.671
Lagonis,0.218
KarasMai,1.025
Ness,1.563
MissDoitBIG,0.081
Heelmike,0.333
SilentSentry,0.814
Zombie_Barricades,0.746
iNoiizY,2.33
DashDucks,0.515
tetristhegrandmaster3,0.249
tiburciand0,1.421
ogmeik,0.16
demonzz1,0.569
abokyan,0.582
Uthenera,1.488
Monstercat,0.224
GoldGlove,0.498
jmjdoc,0.385
Kaceytron,0.497
Subroza,13.48
frttt,1.886
JOEYKAOTYK,1.934
Pun1shers_TV,1.234
JimRsNg,0.657
makataO,0.709
franchiseglobalart,0.275
Japan_ASMR,0.216
AsianGuyStream,2.958
Nephtunie,0.737
sukidingels,0.498
Dirtybird,0.063
Odablock,4.817
TobiasFate,1.655
RelaxBeats,0.193
yamatonjp,1.324
wintergaming,0.283
MurderCrumpet,2.551
PotasticP,1.164
Apryze,0.658
Wingsofdeath,0.608
Natarsha,0.411
Sloot,0.401
SaltyTeemo,0.267
Cedduzzo,0.269
Ekuegan,0.6
Metaphor,0.196
LadyAhriadna,0.424
HyperRatTV,0.834
killercam1020,0.155
Cesarvsc,0.255
slwalekoP,0.722
FlowPodcast,9.857
Alfie,0.386
DougisRaw,0.897
oTakuVision,0.32
itswill,1.07
AlliedEsports,0.038
sacy,2.648
Athena,0.345
q158688920,0.473
DutchsinseOfficial,0.613
Caprimint,0.753
BigEx,2.06
pimpimenta,0.37
Keeoh,0.665
drlee_kor,0.063
ElLeon,0.239
Xaryu,0.753
AlpTV,1.01
JaboodyShow,1.237
LiveCryptoTraders,0.023
iRiskpvp,0.168
LAXHAWTHORN007,0.294
butterflyouo,2.628
TheAdapting,0.023
HutchMF,0.552
spoonkid,3.162
UnRationaL,0.164
SofiKimmy,3.501
acro_land,0.481
elweroking,0.113
KING_spb,0.404
DubDot,1.526
iaaraS2,1.299
venruki,0.309
giganterichard,0.495
PaladinAmber,0.191
OnlyMXC,0.224
Preachlfw,1.211
MywTheKing,0.567
MajinPhil,0.031
FarfadoxVEVO,4.418
Euriece,1.517
DQA_TFT,0.312
HisandHersLive,0.356
Co1azo,0.475
Bonjwa,0.345
VooDooSh,3.782
boxbox,4.636
1DrakoNz,0.436
TeeGrizzley,2.183
jean_mago,4.508
JohnPitterTV,4.147
Falcodrin,0.314
chessbrah,0.936
Gladd,1.68
pijack11,1.063
supertf,3.063
PAAStreaming,0.023
MuTeX,2.237
BarbarousKing,1.613
mount,6.541
naseongkim,1.467
cloakzy,4.186
RakanooLive,1.545
Timmac,1.071
Staryuuki,2.978
Shotz,1.174
Move_Mind,2.271
SkipNhO,1.954
goncho,5.724
Sanchovies,1.51
Bugha,1.725
mch_AGG,1.843
lilypichu,9.84
Ray__C,1.624
imaqtpie,1.084
SmallAnt,4.673
ThomeFN,0.462
ANGRYPUG,2.107
aleks,2.822
allkeyshop_tv,0.046
VELLOSO,0.096
weathernewslive,0.128
Pieface23,1.164
dereknlmb,0.215
Replays,0.352
CDNThe3rd,0.775
Scarra,1.43
kyo1984123,1.556
01bd02,1.048
c9judite,0.521
Tommey,1.209
Aa9skillz,1.286
mang0,1.838
Biotoxz_,1.144
BobbyPoffGaming,0.989
portialyn,2.095
ZeROBADASS,3.915
Xop0,0.634
BarcaGamer,1.173
Smoke,6.503
KYR_SP33DY,2.437
calango,2.992
RocketBeansTV,0.361
chocoTaco,1.305
pulgaboy,0.335
RazaH,1.629
KingGeorge,1.488
Kephrii,1.06
Masayoshi,4.982
IceManIsaac,1.027
QuarterJade,6.373
war10ck3d,0.111
failverde,2.676
VGBootCamp,1.004
DatModz,1.579
runner0608,2.485
Felps,5.576
SaltyBet,0.548
Jay3,1.185
nanayango3o,2.297
BTSBrasilTV,0.575
dmf_kyochan,0.516
OgamingSC2,0.124
Calebhart42,2.268
Zapman,1.904
natalan,2.446
cdewx,0.118
pikra10,1.305
TrymacsKaktusKoenig,0.026
Gabi,2.289
RiffTrax,0.589
Ssaab,2.515
sutanmi,7.353
TheRealzBlueWater,0.095
Im_Dontai,3.359
Quantum,0.99
peterparkTV,2.309
Weak3n,1.473
Snip3down,2.012
emin190766,0.022
Mongraal,6.02
BurkeBlack,1.007
dandogg9,0.327
CrReaM,1.456
johnny3047258,2.976
dasoku_aniki,0.799
Sommerset,1.151
GrandPOObear,1.077
gratis150ml,0.866
dogswellfish,0.951
crazzyccat,0.862
oestagiario,1.623
muse_tw,0.461
DumbDog,0.669
FaZeBlaze,0.66
TheRealMarzaa,1.108
ESAMarathon,0.437
takesipon,1.906
Abracadabra,0.114
ds_lily,0.359
StreamerHouse,0.319
Ranger,0.473
actingliketommy,0.555
DrekzeNN,0.872
pilavpowa,1.079
IKeepItTaco,0.541
sasatikk,2.597
AussieAntics,1.396
okyyy,3.624
fnxLNTC,2.283
its_WiKeD,0.187
Pace22,0.79
72hrs,1.53
Mendo,1.522
bananabrea,1.281
Pikabooirl,1.125
Trick2g,0.671
Chap,0.45
imDBRAZ,0.99
CPentagon,1.229
Nokokopuffs,0.945
ALOHADANCETV,4.006
Winghaven,1.366
ESL_CSGO,2.775
Alliege,2.101
Gaules,8.691
otplol_,1.079
ludwig,16.925
summit1g,19.211
Aydan,6.58
Jelty,12.106
loltyler1,25.268
buddha,13.723
YoDa,14.614
NICKMERCS,29.14
Rogue,1.644
Fextralife,10.731
Insomniac,0.198
TSM_ImperialHal,13.168
EsfandTV,4.259
RatedEpicz,11.909
MOONMOON,14.206
LVNDMARK,8.54
AdinRoss,64.605
