Source,Target,Weight
chess24,Chess,49
POW3Rtv,POW3Rtv,0
Symfuhny,Symfuhny,0
SmiteGame,Incon,90
Solary,Solary,0
EWROON,PAGO3,299
EWROON,Diables,867
FolagorLives,FolagorLives,0
Xiuder_,Xiuder_,0
shuteye_orange,qttsix,57
shuteye_orange,franchiseglobalart,51
shuteye_orange,beryl_lulu,138
shuteye_orange,KSPKSP,70
shuteye_orange,et_1231,129
shuteye_orange,godjj,127
shuteye_orange,uzra,106
shuteye_orange,blusewilly_retry,161
shuteye_orange,muse_tw,56
GronkhTV,Maty,32
GronkhTV,xPandorya,71
Kyle,Burn,287
Kyle,kyliebitkin,156
Kyle,dwjft,357
Kyle,MEKABEAR,340
Kyle,LAGTVMaximusBlack,141
Kyle,Hirona,341
Kyle,Ray__C,268
Kyle,Five0AnthO,658
Kyle,uhSnow,563
Kyle,bananabrea,171
Kyle,Wolfabelle,193
Kyle,buddha,428
Recrent,iLame,103
SolaryHS,SolaryHS,0
Enviosity,Tectone,191
Enviosity,veibae,187
Elajjaz,Distortion2,147
Elajjaz,NymN,140
IlloJuan,IlloJuan,0
Herdyn,CzechCloud,174
Herdyn,ArcadeBulls,50
melina,Kandyland,177
melina,Destiny,111
melina,Jinnytty,181
marty_vole,Akytio,9
marty_vole,Igromania,10
marty_vole,TheLivia,5
marty_vole,MissDoitBIG,5
marty_vole,chess24es,9
marty_vole,franchiseglobalart,9
marty_vole,Dakillzor,21
marty_vole,RelaxBeats,11
marty_vole,chess24fr,8
marty_vole,Multiplayerit,8
marty_vole,Cedduzzo,10
marty_vole,SalvDali,10
marty_vole,rdo1337,10
marty_vole,AlliedEsports,10
marty_vole,Athena,11
marty_vole,BigEx,10
marty_vole,LiveCryptoTraders,6
marty_vole,TheAdapting,7
marty_vole,Mr__Gibbins,10
marty_vole,Pewy,6
marty_vole,Esportal,7
marty_vole,giganterichard,9
marty_vole,Mews,9
marty_vole,OnlyMXC,9
marty_vole,KSWINNIIE,10
marty_vole,Falcodrin,10
marty_vole,allkeyshop_tv,10
marty_vole,VELLOSO,8
marty_vole,weathernewslive,6
marty_vole,war10ck3d,7
marty_vole,dandogg9,8
marty_vole,ArcadeBulls,16
marty_vole,StreamerHouse,9
marty_vole,aesmatv,9
ClassyBeef,ROSHTEIN,324
ClassyBeef,Daskelelele,54
ClassyBeef,CasinoDaddy,107
Akytio,SolaryFortnite,18
Akytio,BeyondTheSummit,17
Akytio,Faah,15
Akytio,qlnek,9
Akytio,esl_csgo_pl,11
Akytio,MST3K,13
Akytio,Igromania,13
Akytio,nahzinhaa,12
Akytio,TheLivia,8
Akytio,MissDoitBIG,10
Akytio,viperdemon,18
Akytio,FinaoLive,15
Akytio,DashDucks,15
Akytio,Jaxstyle,11
Akytio,Sr_ThuliuM,8
Akytio,Monstercat,17
Akytio,chess24es,9
Akytio,skswhdkgo1,12
Akytio,franchiseglobalart,14
Akytio,albislol,10
Akytio,Xhiet0,13
Akytio,RelaxBeats,16
Akytio,TheMexicanRunner,17
Akytio,chess24fr,13
Akytio,laribasgal,14
Akytio,Multiplayerit,13
Akytio,dua3362,17
Akytio,Oonolive,18
Akytio,Fitzyhere,11
Akytio,Hydramist,13
Akytio,SaltyTeemo,16
Akytio,Cedduzzo,14
Akytio,SalvDali,11
Akytio,killercam1020,17
Akytio,airshowerse,13
Akytio,DougisRaw,8
Akytio,AlliedEsports,15
Akytio,Athena,15
Akytio,Mande,16
Akytio,DutchsinseOfficial,17
Akytio,BigEx,14
Akytio,wagnificent,16
Akytio,LhCloudy27,11
Akytio,Lapi,11
Akytio,easywithaces,12
Akytio,Xaryu,8
Akytio,del1ght,16
Akytio,POKAMOLODOY,14
Akytio,TaeRss,11
Akytio,LiveCryptoTraders,11
Akytio,Alliance_Hakis,15
Akytio,TheAdapting,12
Akytio,10000DAYS,14
Akytio,dahmien7,12
Akytio,Mr__Gibbins,13
Akytio,SgtGrafoyni,14
Akytio,Pewy,10
Akytio,Esportal,6
Akytio,Tourva,11
Akytio,Cringer,11
Akytio,giganterichard,13
Akytio,BibixHD,12
Akytio,Mews,9
Akytio,OnlyMXC,15
Akytio,DQA_TFT,10
Akytio,D3stri,12
Akytio,KSWINNIIE,13
Akytio,XEWER,14
Akytio,Falcodrin,13
Akytio,ThomeFN,15
Akytio,allkeyshop_tv,13
Akytio,VELLOSO,9
Akytio,weathernewslive,13
Akytio,c9judite,17
Akytio,iGeStarK,13
Akytio,war10ck3d,10
Akytio,OgamingLoL,9
Akytio,SaltyBet,15
Akytio,Arab,13
Akytio,Yoshi93,17
Akytio,RiffTrax,15
Akytio,dandogg9,17
Akytio,katoo,17
Akytio,muse_tw,16
Akytio,ArcadeBulls,17
Akytio,ESAMarathon,14
Akytio,StreamerHouse,13
Akytio,Whaazz,11
Akytio,kragiee,19
Akytio,TurunPug,12
Akytio,aesmatv,14
Akytio,kangqui,14
Akytio,otplol_,22
Akytio,Insomniac,14
Posty,Posty,0
mailand,mailand,0
Walid,Igromania,5
Walid,chess24es,5
Walid,rdo1337,5
Walid,AlliedEsports,5
Walid,Lapi,8
Walid,Esportal,6
Walid,Mews,7
Walid,allkeyshop_tv,6
Walid,aesmatv,4
HITBOXKING,HITBOXKING,0
99Damage,Igromania,13
99Damage,chess24es,11
99Damage,franchiseglobalart,13
99Damage,RelaxBeats,12
99Damage,Multiplayerit,9
99Damage,Cedduzzo,11
99Damage,AlliedEsports,11
99Damage,BigEx,12
99Damage,TheAdapting,8
99Damage,Esportal,8
99Damage,Tourva,11
99Damage,giganterichard,9
99Damage,Mews,9
99Damage,KSWINNIIE,12
99Damage,allkeyshop_tv,10
99Damage,dandogg9,9
99Damage,StreamerHouse,11
99Damage,aesmatv,9
kanetv8,kanetv8,0
Slayproxx,Slayproxx,0
karchez,paracetamor,42
karchez,aXoZer,145
qttsix,itsHafu,36
qttsix,JoshOG,16
qttsix,franchiseglobalart,29
qttsix,albislol,31
qttsix,beryl_lulu,53
qttsix,DougisRaw,18
qttsix,Mr__Gibbins,18
qttsix,HappyThoughts,16
qttsix,Mews,19
qttsix,KSPKSP,73
qttsix,D3stri,25
qttsix,vivi0z1,30
qttsix,Shiphtur,19
qttsix,RiffTrax,15
qttsix,blusewilly_retry,158
qttsix,muse_tw,40
qttsix,Spraggy,18
XBOCT,just_ns,38
XBOCT,DreadzTV,74
MiltonTPike1,JoshOG,22
MiltonTPike1,franchiseglobalart,19
MiltonTPike1,D3stri,21
Back2Warcraft,Igromania,11
Back2Warcraft,Monstercat,15
Back2Warcraft,RelaxBeats,12
Back2Warcraft,TheMexicanRunner,15
Back2Warcraft,killercam1020,15
Back2Warcraft,AlliedEsports,11
Back2Warcraft,POKAMOLODOY,13
Back2Warcraft,LiveCryptoTraders,10
Back2Warcraft,Alliance_Hakis,14
Back2Warcraft,Pewy,11
Back2Warcraft,allkeyshop_tv,12
Back2Warcraft,weathernewslive,12
Back2Warcraft,dandogg9,14
Back2Warcraft,ESAMarathon,17
Back2Warcraft,Insomniac,13
AyarBaffo,AyarBaffo,0
kyliebitkin,Burn,57
kyliebitkin,Deansocool,23
kyliebitkin,dwjft,91
kyliebitkin,MEKABEAR,67
kyliebitkin,LiveCryptoTraders,6
kyliebitkin,HappyThoughts,14
kyliebitkin,theLGX,28
kyliebitkin,Hirona,114
kyliebitkin,Five0AnthO,75
kyliebitkin,uhSnow,145
kyliebitkin,bananabrea,67
kyliebitkin,Wolfabelle,51
kyliebitkin,Afro,21
Olsior,Olsior,0
TSM_Viss,RealKraftyy,31
Kandyland,ShoXx__,34
Kandyland,Maty,38
Kandyland,Valle,36
Kandyland,Baso,36
restya_tw,beryl_lulu,57
restya_tw,KSPKSP,177
restya_tw,sweetcampercs,263
TheLivia,qlnek,3
TheLivia,esl_csgo_pl,6
TheLivia,MST3K,5
TheLivia,Igromania,4
TheLivia,nahzinhaa,9
TheLivia,bmkibler,3
TheLivia,MissDoitBIG,4
TheLivia,Stratus,7
TheLivia,Sr_ThuliuM,5
TheLivia,Monstercat,5
TheLivia,chess24es,4
TheLivia,RelaxBeats,7
TheLivia,TheMexicanRunner,8
TheLivia,chess24fr,7
TheLivia,laribasgal,6
TheLivia,Multiplayerit,6
TheLivia,Arvius,5
TheLivia,killercam1020,6
TheLivia,DougisRaw,6
TheLivia,AlliedEsports,6
